1.0.-Etxebizitzen salerosketa kopurua. 2018ko 2. hiruhilekoa;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.046,79; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.662,71;4.290,17;3.528,69;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.356,74; n.d. ; n.d. ;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.136,99;1.799,51;2.343,23;;;;;
;;;;;;;;;
;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2018ko 2. hiruhilekoa;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 02 trimestre 2018;;;;;;;;;
;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;
Nazionala/Nacional;ESPAÑA;2.475,18;1.863,40;1.621,64;1.584,70;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.534,65;2.484,97;2.331,36;2.384,80;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.786,94;1.417,33;1.287,34;1.314,39;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.446,00;1.176,94;1.282,15;1.394,16;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.507,33;1.180,73;1.135,21;1.202,72;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.543,79;2.523,02;2.249,76;2.241,88;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.610,55;2.149,23;1.726,63;1.532,40;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.582,11;1.499,46;1.410,99;1.444,07;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.409,84;1.027,88;1.068,29;1.094,61;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.009,07;861,79;799,23;838,96;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.693,71;2.222,63;2.070,56;2.115,30;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;725,11;764,48;781,12;760,44;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.753,41;1.349,63;1.312,62;1.238,20;;;;
