1.0.-Etxebizitzen salerosketa kopurua. 2020ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2020;;;;;;;
;;;;;;;
Áreas funcionales;Álava Central;11,86;4,30;74,05;9,79;;
Áreas funcionales;Balmaseda-Zalla;0,00;0,00;94,44;5,56;;
Áreas funcionales;Beasain-Zumárraga;20,59;0,00;73,53;5,88;;
Áreas funcionales;Bilbao Metropolitano;11,53;2,77;81,42;4,28;;
Áreas funcionales;Donostia-San Sebastián;18,36;3,59;74,96;3,09;;
Áreas funcionales;Durango;43,10;2,87;47,13;6,90;;
Áreas funcionales;Eibar;24,37;2,52;65,55;7,56;;
Áreas funcionales;Gernika-Markina;12,73;12,73;65,45;9,09;;
Áreas funcionales;Igorre;32,00;0,00;68,00;0,00;;
Áreas funcionales;Laguardia;37,50;0,00;62,50;0,00;;
Áreas funcionales;Laudio / Llodio;10,96;1,37;73,97;13,70;;
Áreas funcionales;Arrasate-Bergara;16,47;3,53;63,53;16,47;;
Áreas funcionales;Mungia;50,00;0,00;33,33;16,67;;
Áreas funcionales;Tolosa;0,00;0,00;100,00;0,00;;
Áreas funcionales;Zarautz-Azpeitia;1,72;0,00;95,69;2,59;;
;;;;;;;
3.1.1.- Hipoteka-kreditu berriko banaketa(%).  2020ko 1. hiruhilekoa;;;;;;;
3.1.1.- Distribución del volumen de nuevo crédito hipotecario(%).  01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;;
Nazionala/Nacional;ESPAÑA;90,48;9,52;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;78,76;21,24;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;91,85;8,15;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;88,81;11,19;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;86,15;13,85;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;93,58;6,42;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;92,42;7,58;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;96,10;3,90;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;86,85;13,15;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;83,92;16,08;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;94,07;5,93;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;79,14;20,86;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;95,85;4,15;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;94,47;5,53;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;81,98;18,02;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;49,72;50,28;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;63,16;36,84;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;89,16;10,84;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;72,88;27,12;;;;
Hiriburak/Capitales de TTHH;Donostia/San Sebastián;76,29;23,71;;;;
Hiriburak/Capitales de TTHH;Bilbao;86,35;13,65;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;84,66;15,34;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;70,83;29,17;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;81,25;18,75;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;74,76;25,24;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;100,00;0,00;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;25,49;74,51;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;81,83;18,17;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;79,76;20,24;;;;
Eskualde Egitura/Áreas funcionales;Durango;95,02;4,98;;;;
Eskualde Egitura/Áreas funcionales;Eibar;78,52;21,48;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;63,86;36,14;;;;
Eskualde Egitura/Áreas funcionales;Igorre;96,26;3,74;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;100,00;0,00;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;78,06;21,94;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;57,82;42,18;;;;
Eskualde Egitura/Áreas funcionales;Mungia;100,00;0,00;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;58,85;41,15;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;70,60;29,40;;;;
;;;;;;;
3.1.2.- Hipoteka-kreditu berriko banaketa(%). Higiezin mota. 2020ko 1. hiruhilekoa;;;;;;;
3.1.2.- Distribución del volumen de nuevo crédito hipotecario (%). Tipo bien inmueble. 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAK VIVIENDAS;LOKALAK    LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;LARREKOAK RUSTICOS
Nazionala/Nacional;ESPAÑA;83,66;4,55;1,17;7,17;2,77;0,68
Euskadi/País Vasco;EUSKADI/PAIS VASCO;80,38;6,10;0,99;8,65;3,35;0,53
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;87,31;2,96;1,30;6,53;1,53;0,37
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;86,90;1,58;1,15;6,20;4,09;0,08
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;81,65;5,49;2,56;0,71;5,67;3,92
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;76,50;4,77;0,62;14,55;2,43;1,13
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;81,13;10,59;1,54;2,04;3,27;1,43
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;77,89;2,96;1,37;5,71;10,94;1,13
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;78,69;8,02;1,14;6,69;4,32;1,14
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;87,55;2,24;1,18;2,70;5,91;0,42
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;84,05;3,98;1,67;8,18;2,07;0,05
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;75,02;3,39;1,06;2,33;3,28;14,92
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;79,37;4,15;1,27;5,50;7,15;2,56
Erakunde Autonomoa/CCAA;MADRIL/MADRID;86,26;5,47;0,62;7,05;0,60;0,00
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;88,25;3,67;0,83;1,52;4,26;1,47
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;61,53;4,88;0,70;25,98;5,32;1,59
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;59,83;1,38;1,33;34,30;3,12;0,04
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;84,70;3,61;1,47;3,31;6,51;0,40
Lurraldea/TTHH;ARABA/ÁLAVA;81,14;2,17;0,53;13,09;3,07;0,00
Lurraldea/TTHH;GIPUZKOA;78,45;5,25;1,11;10,29;3,75;1,15
Lurraldea/TTHH;BIZKAIA;81,33;7,51;1,03;6,65;3,19;0,29
;;;;;;;
3.1.3.- Hipoteka-kreditu berriko banaketa (%). Babesaren gradua.  2020ko 1. hiruhilekoa;;;;;;;
3.1.3.- Distribución del volumen de nuevo crédito hipotecario (%). Grado protección. 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZA LIBREA VIVIENDA LIBRE;ETXEBIZITZA BABESTUA VIVIENDA PROTEGIDA;LIBRE BANKUAK/KUTXAK LIBRE BANCOS/CAJAS;LIBRE BESTEAK LIBRE OTRAS;BABESTUAK BANKUAK/KUTXAK VPO BANCOS/CAJAS;BABESTUAK BESTEAK VPO OTRAS
Nazionala/Nacional;ESPAÑA;91,92;8,08;91,92;8,08;91,98;8,02
Euskadi/País Vasco;EUSKADI/PAIS VASCO;91,29;8,71;79,19;20,81;86,43;13,57
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;91,29;8,71;91,76;8,24;90,31;9,69
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;85,18;14,82;90,96;9,04;91,17;8,83
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;86,70;13,30;81,50;18,50;78,90;21,10
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;98,50;1,50;95,18;4,82;97,34;2,66
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;94,98;5,02;93,56;6,44;89,17;10,83
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;90,97;9,03;97,82;2,18;98,85;1,15
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;91,68;8,32;86,04;13,96;89,70;10,30
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;93,60;6,40;86,00;14,00;88,99;11,01
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;91,96;8,04;94,64;5,36;97,73;2,27
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;79,13;20,87;89,62;10,38;91,68;8,32
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;96,51;3,49;96,67;3,33;90,00;10,00
Erakunde Autonomoa/CCAA;MADRIL/MADRID;93,62;6,38;96,28;3,72;98,51;1,49
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;87,11;12,89;87,79;12,21;89,41;10,59
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;81,76;18,24;57,00;43,00;58,50;41,50
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;91,32;8,68;91,28;8,72;78,64;21,36
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;90,41;9,59;90,45;9,55;91,49;8,51
Lurraldea/TTHH;ARABA/ÁLAVA;86,48;13,52;75,00;25,00;67,89;32,11
Lurraldea/TTHH;GIPUZKOA;95,90;4,10;76,61;23,39;75,01;24,99
Lurraldea/TTHH;BIZKAIA;89,81;10,19;81,69;18,31;94,72;5,28
;;;;;;;
3.2.1.- Kontratatutako hipoteka-kredituko batez bestekoa m koadroka (€). 2020ko 1. hiruhilekoa;;;;;;;
3.2.1.- Importe medio de crédito hipotecario contratado por m²(€). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK/KUTXAK BANCOS;BESTELAKOAK OTRAS;;;
Nazionala/Nacional;ESPAÑA;1.301,89;1.317,25;1.129,30;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1.842,88;1.850,11;1.812,15;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.026,13;1.040,16;879,85;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.080,01;1.075,97;1.120,73;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.043,32;1.064,70;983,14;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.682,17;1.680,53;1.737,32;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.178,33;1.179,75;1.152,96;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.123,27;1.119,11;1.366,80;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;874,82;879,08;840,74;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;718,06;722,10;691,79;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.689,39;1.697,49;1.519,85;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;700,39;705,47;628,92;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.001,70;1.004,11;929,59;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.967,76;1.967,87;1.964,31;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;758,68;773,01;655,34;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.249,21;1.191,56;1.337,78;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;881,33;897,48;754,62;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;912,95;923,64;796,06;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.433,45;1.445,24;1.405,60;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;2.847,66;2.783,60;3.109,98;;;
Hiriburak/Capitales de TTHH;Bilbao;1.829,12;1.865,90;1.660,26;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.203,26;1.156,44;1.434,73;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.758,37;1.761,22;1.750,13;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.819,54;1.823,33;1.790,99;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.394,88;1.396,25;1.391,43;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.357,38;1.357,38;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.524,24;1.427,56;1.603,57;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.864,62;1.881,52;1.762,68;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;2.308,32;2.249,59;2.615,58;;;
Eskualde Egitura/Áreas funcionales;Durango;1.670,50;1.678,14;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.488,80;1.486,49;1.496,34;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;1.598,91;1.609,73;1.572,94;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.153,96;1.150,64;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Laguardia;878,28;  n.d.  ;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.382,37;1.334,35;1.618,13;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.394,18;1.389,16;1.400,42;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.221,57;  n.d.  ;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.458,23;1.517,01;1.321,09;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.408,55;2.451,50;2.344,14;;;
;;;;;;;
3.2.3.- Kontratatutako hipoteka-kredituko batez bestekoa transakzioka (€). 2020ko 1. hiruhilekoa;;;;;;;
3.2.3.- Importe medio de crédito hipotecario contratado por transacción (€). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;
Nazionala/Nacional;ESPAÑA;126.906,00;128.456,57;111.603,94;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;152.045,80;152.700,40;149.509,91;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;106.105,04;107.654,26;91.663,98;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;109.932,74;110.972,13;100.429,12;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;97.932,51;103.425,60;79.706,15;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;181.718,81;179.542,12;239.415,49;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;101.041,14;100.920,35;102.763,66;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;99.326,00;99.227,03;104.201,67;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;95.102,54;94.313,73;100.414,38;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;90.781,85;91.547,37;86.279,92;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;150.133,44;151.010,18;135.519,34;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;83.129,30;82.304,29;91.423,53;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;96.676,98;97.398,72;80.514,15;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;192.839,36;191.852,65;223.883,12;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;80.419,43;81.813,61;71.484,47;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;122.301,58;119.895,16;125.683,11;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;82.953,69;83.185,47;80.883,95;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;91.820,42;92.660,78;84.481,13;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;128.109,07;129.443,67;124.744,77;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;226.670,95;224.221,59;236.432,38;;;
Hiriburak/Capitales de TTHH;Bilbao;159.154,44;163.221,24;139.362,67;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;121.138,54;122.746,71;114.340,38;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;138.238,42;141.526,07;129.300,12;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;150.003,39;146.827,87;166.408,07;;;
Eskualde Egitura/Áreas funcionales;Álava Central;126.854,59;127.891,98;124.095,15;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;120.811,22;120.811,22;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;124.382,68;125.349,11;123.852,71;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;156.503,31;155.868,12;159.526,04;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;181.216,19;179.682,06;189.032,95;;;
Eskualde Egitura/Áreas funcionales;Durango;138.714,10;138.195,19;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Eibar;106.612,22;101.180,58;122.381,48;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;124.428,04;122.281,01;128.469,51;;;
Eskualde Egitura/Áreas funcionales;Igorre;100.331,56;101.233,41;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Laguardia;110.237,82;110.237,82;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;125.927,12;128.612,31;116.528,94;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;110.999,19;113.540,93;107.798,50;;;
Eskualde Egitura/Áreas funcionales;Mungia;162.151,50;  n.d.  ;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Tolosa;120.003,62;122.181,07;113.108,37;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;173.742,49;180.186,75;161.233,04;;;
;;;;;;;
3.3.- Interes-tipoak. Erreferentziar indizeak (%). 2020ko 1. hiruhilekoa;;;;;;;
3.3.- Tipos de interés. Índices de referencia (%). 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Finkoa     Fijo;Aldagarria Variable;Euriborra Euribor;HMEI      IRPH;Bestelakoak Otros;
Nazionala/Nacional;ESPAÑA;53,43;46,57;45,62;0,19;0,76;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;40,85;59,15;58,81; -   ;0,34;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;52,49;47,51;46,61;0,39;0,51;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;54,09;45,91;45,67;0,12;0,12;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;64,00;36,00;35,51;0,27;0,22;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;57,54;42,46;41,75; -   ;0,71;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;53,21;46,79;46,25;0,09;0,45;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;58,15;41,85;40,97;0,10;0,78;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;50,55;49,45;48,52;0,13;0,80;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;46,38;53,62;52,99;0,18;0,45;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;62,68;37,32;36,74;0,07;0,51;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;33,74;66,26;63,34;1,87;1,05;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;58,19;41,81;41,47;0,10;0,24;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;39,97;60,03;58,16;0,04;1,83;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;65,55;34,45;33,77;0,04;0,64;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;61,15;38,85;38,00; -   ;0,85;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;59,37;40,63;40,45; -   ;0,18;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;61,13;38,87;37,61;0,14;1,12;
Lurraldea/TTHH;ARABA/ÁLAVA;30,96;69,04;68,72; -   ;0,32;
Lurraldea/TTHH;GIPUZKOA;44,79;55,21;54,81; -   ;0,40;
Lurraldea/TTHH;BIZKAIA;41,36;58,64;58,33; -   ;0,31;
;;;;;;;
3.4.1.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Finantza-erakunde mota. 2020ko 1. hiruhilekoa;;;;;;;
3.4.1.- Duración media de los nuevos créditos hipotecarios (meses). Tipo entidad. 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                         ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK/KUTXAK BANCOS/CAJAS;BESTELAKOAK OTRAS;;;
Nazionala/Nacional;ESPAÑA;282,00;283,00;275,00;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;294,00;303,00;259,00;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;288,00;288,00;289,00;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;268,00;269,00;259,00;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;279,00;278,00;283,00;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;276,00;277,00;235,00;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;255,00;255,00;248,00;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;276,00;277,00;275,00;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;268,00;267,00;271,00;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;278,00;278,00;281,00;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;288,00;289,00;265,00;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;288,00;284,00;322,00;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;272,00;273,00;251,00;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;293,00;293,00;288,00;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;273,00;272,00;278,00;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;285,00;282,00;289,00;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;240,00;239,00;254,00;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;270,00;270,00;264,00;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;294,00;299,00;280,00;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;292,00;290,00;296,00;;;
Hiriburak/Capitales de TTHH;Bilbao;302,00;308,00;271,00;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;293,00;293,00;295,00;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;293,00;295,00;289,00;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;291,00;308,00;201,00;;;
Eskualde Egitura/Áreas funcionales;Álava Central;293,00;298,00;282,00;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;284,00;284,00;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;300,00;298,00;301,00;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;295,00;311,00;219,00;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;293,00;293,00;294,00;;;
Eskualde Egitura/Áreas funcionales;Durango;297,00;298,00;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Eibar;287,00;291,00;271,00;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;281,00;273,00;294,00;;;
Eskualde Egitura/Áreas funcionales;Igorre;284,00;280,00;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Laguardia;266,00;266,00;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;306,00;313,00;281,00;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;272,00;262,00;286,00;;;
Eskualde Egitura/Áreas funcionales;Mungia;240,00;  n.d.  ;  n.d.  ;;;
Eskualde Egitura/Áreas funcionales;Tolosa;288,00;294,00;266,00;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;303,00;308,00;292,00;;;
;;;;;;;
3.4.2.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Higiezin mota.  2020ko 1. hiruhilekoa;;;;;;;
3.4.2.- Duración media de los nuevos créditos hipotecarios (meses). Tipo bien inmueble. 01 trimestre 2020;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;ETXEBIZITZAK VIVIENDAS;LOKALAK LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES
Nazionala/Nacional;ESPAÑA;276,00;282,00;174,00;279,00;234,00;155,00
Euskadi/País Vasco;EUSKADI/PAIS VASCO;286,00;294,00;168,00;312,00;134,00;151,00
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;284,00;288,00;185,00;294,00;246,00;167,00
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;269,00;268,00;199,00;297,00;  n.d.  ;142,00
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;277,00;279,00;184,00;298,00;  n.d.  ;179,00
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;269,00;276,00;167,00;290,00;190,00;162,00
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;246,00;255,00;154,00;249,00;185,00;135,00
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;273,00;276,00;190,00;290,00;  n.d.  ;167,00
