1.0.-Etxebizitza salerosketak. 2012ko 4. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;
Nazionala/Nacional;ESPAÑA;1.904,53;1.644,96;1.505,24;1.445,26;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.167,28;2.675,77;2.551,37;2.454,15;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.539,85;1.303,45;1.307,51;1.302,44;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.653,37;1.453,14;1.511,28;1.472,55;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.789,55;1.423,15;1.413,97;1.502,76;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.724,13;1.904,36;1.868,11;1.909,32;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.774,85;1.548,36;1.204,43;1.209,87;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.976,93;1.796,03;1.675,32;1.451,59;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.204,78;1.268,99;1.274,14;1.205,82;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.041,95;995,15;828,61;1.040,06;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.958,74;1.843,10;1.707,75;1.766,89;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;916,14;937,07;913,64;928,99;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.095,80;1.546,02;1.393,39;1.281,51;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.690,73;2.185,42;1.982,59;2.064,34;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.376,07;1.485,00;1.175,56;1.174,80;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; -- ;1.717,80;1.702,71;1.565,58;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; -- ;1.591,10;1.658,05;1.449,62;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.576,06;1.317,03;1.224,22;1.131,03;;;;;
;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2012ko 4. hiruhilekoa;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;
Nazionala/Nacional;ESPAÑA;1.543,19;1.201,85;1.192,02;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.645,19;2.334,22;2.546,18;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.334,09;1.099,85;1.014,68;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.514,73;1.228,21;566,98;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.498,96;962,45;973,56;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.894,59;1.732,58;2.420,86;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.480,53;1.209,24;680,30;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;958,09;757,08;607,09;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.444,83;916,88;898,49;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.252,57;917,60;529,15;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;972,34;788,56;612,86;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1.347,28;1.409,91;1.225,40;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.623,44;1.339,26;1.191,09;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.777,09;1.526,14;1.731,17;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.144,28;1.726,12;2.165,27;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.237,94;1.143,79;864,16;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.551,20;1.416,51;1.264,36;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.240,97;1.154,39;1.210,49;;;;;;
;;;;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2012ko 4. hiruhilekoa;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;576,79;;;;;;;;
Lurraldea/TTHH;Araba/Álava;901,66;;;;;;;;
Lurraldea/TTHH;Gipuzkoa;291,69;;;;;;;;
Lurraldea/TTHH;Bizkaia;528,32;;;;;;;;
;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2012ko 4. hiruhilekoa;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 04 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;
Nazionala/Nacional;ESPAÑA;-11,22;2,90;0,70;-4,66;4,28;5,41;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;-9,21;2,70;1,50;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;-6,88;2,60;0,50;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-21,26;2,70;-0,10;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-8,10;2,60;0,10;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;-2,83;3,10;-0,50;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;-5,10;2,50;0,60;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;-10,16;3,60;-0,80;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;-8,23;3,10;0,20;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;-14,74;2,70;1,60;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;-16,44;3,60;0,60;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;-1,47;2,80;1,20;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;-7,05;2,60;-0,90;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;-10,62;2,50;1,80;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;-4,91;2,90;0,00;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;-2,79;2,70;-1,20;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;-15,33;2,80;-0,90;-4,66;4,28;5,41;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;-8,95;3,00;0,00;-4,66;4,28;5,41;;;
;;;;;;;;;;
;;;;;;;;;;
1.4.- Atzerritarren salerosketak. 2012ko 4. hiruhilekoa;;;;;;1.4.- Atzerritarren salerosketak. 2012ko 4. hiruhilekoa;;;;
1.4.- Compraventas de extranjeros. 04 trimestre 2012;;;;;;1.4.- Compraventas de extranjeros. 04 trimestre 2012;;;;
;;;;;;;;;;
EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA NUMERO TOTAL;Guztiaren% %Total;Atzerritaren% % Extranjeros;;EREMUA                                                    ÁMBITO;NAZIONALITATEA NACIONALIDAD;GUZTIRA EAE NUMERO CAE;Guztiaren% %Total;Atzerritaren% % Extranjeros
ESPAÑA;España;66.812,00;0,01;-;;EUSKADI/PAÍS VASCO;España;2.462,00;0,87;-
ESPAÑA;Reino Unido;1.182,00;0,00;0,00;;EUSKADI/PAÍS VASCO;China;7,00;0,00;0,25%
ESPAÑA;Francia;706,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Francia;4,00;0,00;0,14%
ESPAÑA;Rusia;652,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Rumania;4,00;0,00;0,14%
ESPAÑA;Belgica;510,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Colombia;2,00;0,00;0,07%
ESPAÑA;Alemania;494,00;0,00;0,00;;EUSKADI/PAÍS VASCO;Estados Unidos de Am;2,00;0,00;0,07%
