1.0.-Etxebizitzen salerosketa kopurua. 2023ko 1. hiruhilekoa;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2023;;;;;;;;
;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.989,68;3.510,55;2.865,28;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.593,62;1.715,19;1.560,34;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.488,39;1.945,11;1.394,38;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.247,49;1.527,21;1.194,27;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3.026,99;2.613,01;3.151,03;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.167,85;1.920,13;2.239,08;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.665,26;1.838,89;1.638,75;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.110,14;1.401,11;1.040,27;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;849,83;1.030,64;810,10;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.374,68;2.506,99;2.347,21;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;742,50;1.082,53;695,71;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.323,43;1.192,32;1.359,88;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.221,22;3.290,63;3.200,41;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.100,59;1.224,35;1.076,29;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.840,40;2.044,67;1.754,60;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.280,64;1.296,85;1.278,01;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.444,76;1.830,73;1.380,98;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;2.470,88;3.128,72;2.271,80;;;;
Lurraldea/TTHH;GIPUZKOA;3.365,68;3.501,54;3.334,92;;;;
Lurraldea/TTHH;BIZKAIA;2.861,66;3.620,59;2.684,47;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;2.696,67;3.482,01;2.492,81;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;5.105,04;5.198,48;5.083,37;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.751,40;2.703,51;2.753,77;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.893,56;2.506,93;1.631,44;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.939,61;3.075,65;2.908,99;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.902,49;3.686,79;2.652,22;;;;
Eskualde Egitura/Áreas funcionales;Araba Erdialdea;2.561,02;3.374,75;2.371,02;;;;
Eskualde Egitura/Áreas funcionales;Enkarterri;2.141,13; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Goierri;1.988,09; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Bilbo Metropolitarra;2.963,75;4.077,37;2.742,03;;;;
Eskualde Egitura/Áreas funcionales;Donostialdea-Bidasoa Behera;3.951,86;4.012,59;3.939,70;;;;
Eskualde Egitura/Áreas funcionales;Durangaldea;2.585,84;2.760,54;2.471,84;;;;
Eskualde Egitura/Áreas funcionales;Debabarrena;2.580,30;3.122,66;2.146,42;;;;
Eskualde Egitura/Áreas funcionales;Busturialdea-Artibai;2.466,21;2.155,91;2.522,12;;;;
Eskualde Egitura/Áreas funcionales;Arratia;2.249,96; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Arabako Errioxa;878,88; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Aiara;2.221,58;2.700,89;1.856,00;;;;
Eskualde Egitura/Áreas funcionales;Debagoiena;2.331,80;2.668,82;2.004,27;;;;
Eskualde Egitura/Áreas funcionales;Mungialdea;2.592,35;2.170,41;2.856,06;;;;
Eskualde Egitura/Áreas funcionales;Tolosaldea;2.293,10; n.d. ; n.d. ;;;;
Eskualde Egitura/Áreas funcionales;Urola Kostaldea;3.950,65;4.733,85;3.903,42;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.853,53; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;3.429,54;3.985,84;2.970,36;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.542,61; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;2.326,70; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;2.578,10; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;2.402,76;2.775,16;2.197,56;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.160,25; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;6.521,35; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;5.262,75; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;5.827,62; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;5.480,28; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;4.001,05;5.189,23;3.362,40;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.981,71; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.746,48; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;2.091,56; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.667,16; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;2.359,88;1.733,00;2.431,53;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.891,04; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.534,43; n.d. ; n.d. ;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;2.486,25; n.d. ; n.d. ;;;;
Udalerriak >40.000/Municipios >40.000;Irun;2.952,57; n.d. ; n.d. ;;;;
Udalerriak >40.000/Municipios >40.000;Errenteria;3.283,13; n.d. ; n.d. ;;;;
