1.0.-Etxebizitzen salerosketa kopurua. 2018ko 1. hiruhilekoa;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.834,91; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Laguardia;793,96; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.932,11; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;2.042,36;2.380,27;1.793,90;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.119,76; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.991,07; n.d. ; n.d. ;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.955,31;3.257,13;2.834,58;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.314,40; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.288,27; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.820,39;2.079,36;1.793,02;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.439,47; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.906,00; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.563,79; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;5.278,59; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.102,40; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;3.955,68; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;5.094,26;4.813,81;5.212,17;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.352,18; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.790,92;2.693,48;2.806,56;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.795,97; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.059,49; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.754,92; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.335,67; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;1.888,89; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.566,43;4.106,03;3.447,84;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.153,49; n.d. ; n.d. ;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;1.895,75; n.d. ; n.d. ;;;
;;;;;;;
;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2018ko 1. hiruhilekoa;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;
Nazionala/Nacional;ESPAÑA;2.475,12;1.788,87;1.589,76;1.597,95;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.340,52;2.427,19;2.323,21;2.366,89;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.941,93;1.389,91;1.218,66;1.334,36;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.624,87;1.215,93;1.246,10;1.371,23;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.224,56;1.161,43;1.235,85;1.292,91;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.864,52;2.498,88;2.267,07;2.198,35;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.102,01;1.883,03;1.541,93;1.428,47;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.831,92;1.567,96;1.425,55;1.513,59;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.250,68;1.046,25;1.072,63;1.083,26;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;1.135,23;825,32;849,80;833,82;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.658,86;2.097,91;1.983,13;2.120,42;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;623,39;751,35;803,43;760,07;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.868,98;1.312,09;1.245,88;1.216,86;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.967,37;2.445,71;2.235,29;2.566,48;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.467,96;1.157,94;984,65;886,18;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.268,89;1.590,90;1.544,72;1.591,57;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; n.d. ;944,52;1.018,07;1.084,96;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.594,25;1.252,33;1.150,41;1.102,12;;
;;;;;;;
;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2018ko 1. hiruhilekoa;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 01 trimestre 2018;;;;;;;
;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;
Nazionala/Nacional;ESPAÑA;1.701,92;1.347,74;1.299,77;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.435,78;3.076,34;2.929,64;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.367,64;1.100,73;1.083,10;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.310,93;1.229,30;678,21;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.259,03;1.100,66;956,39;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.318,45;1.923,81;2.663,80;;;
