1.0.-Etxebizitza salerosketak. 2012ko 2. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;20,48;7,15;44,96;27,41;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;58,24;2,96;34,79;4,01;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;33,10;9,12;54,56;3,22;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;49,52;3,42;42,91;4,15;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;34,90;9,88;50,87;4,35;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;34,22;5,29;52,61;7,88;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;46,98;2,89;44,73;5,40;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;26,86;34,00;33,43;5,71;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;37,01;3,15;51,18;8,66;;;;;
Hiriburak/Capitales de TTHH;Bilbao;21,57;4,08;71,43;2,92;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;19,12;1,47;73,53;5,88;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;22,02;27,48;45,86;4,64;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;30,98;6,88;57,61;4,53;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;26,86;31,91;35,64;5,59;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;12,50;0,00;81,25;6,25;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;28,07;5,26;61,41;5,26;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;24,01;3,14;68,89;3,96;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;28,20;11,34;51,74;8,72;;;;;
Eskualde Egitura/Áreas funcionales;Durango;39,19;36,49;20,27;4,05;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;28,10;58,68;11,57;1,65;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;25,81;3,23;70,96;0,00;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;77,27;4,55;18,18;0,00;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;85,71;0,00;14,29;0,00;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;11,90;0,00;80,96;7,14;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;26,17;51,40;17,76;4,67;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;100,00;0,00;0,00;0,00;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;10,53;0,00;87,72;1,75;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;9,09;3,64;87,27;0,00;;;;;
;;;;;;;;;;
3.1.1.- Hipoteka-kreditu berriko banaketa(%).  2012ko 2. hiruhilekoa;;;;;;;;;;
3.1.1.- Distribución del volumen de nuevo crédito hipotecario(%).  02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BANKUAK BANCOS;KUTXAK CAJAS;BESTELAKOAK OTRAS;;;;;;
Nazionala/Nacional;ESPAÑA;75,57;9,92;14,51;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;49,97;27,09;22,94;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;77,42;9,08;13,50;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;64,93;10,13;24,94;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;73,23;4,68;22,09;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;77,80;6,91;15,29;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;84,19;4,72;11,09;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;71,39;20,85;7,76;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;77,67;6,63;15,70;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;74,48;9,10;16,42;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;75,23;9,21;15,56;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;86,48;8,00;5,52;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;88,32;4,34;7,34;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;88,32;5,59;6,09;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;69,19;10,34;20,47;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;37,26;25,87;36,87;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;51,65;33,57;14,78;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;73,20;9,49;17,31;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;39,23;44,62;16,15;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;50,45;39,30;10,25;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;70,05;13,59;16,36;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;30,96;31,18;37,86;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;43,33;26,32;30,35;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;50,01;26,29;23,70;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;38,91;45,19;15,90;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;25,95;73,25;0,80;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;47,92;42,55;9,53;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;65,06;15,60;19,34;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;36,70;33,79;29,51;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;25,98;45,23;28,79;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;70,94;27,06;2,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;39,14;11,80;49,06;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;16,70;74,76;8,54;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;31,31;61,28;7,41;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;31,03;15,91;53,06;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;42,49;4,79;52,72;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;47,06;52,94;0,00;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;26,99;59,11;13,90;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;3,40;8,74;87,86;;;;;;
;;;;;;;;;;
3.1.2.- Hipoteka-kreditu berriko banaketa(%). Higiezin mota. 2012ko 2. hiruhilekoa;;;;;;;;;;
3.1.2.- Distribución del volumen de nuevo crédito hipotecario (%). Tipo bien inmueble. 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAK VIVIENDAS;LOKALAK LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;LARREKOAK RUSTICOS;;;
Nazionala/Nacional;ESPAÑA;70,81;9,22;2,12;11,06;4,65;2,14;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;70,18;7,31;1,38;12,38;5,89;2,86;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;70,57;8,61;2,69;12,54;2,50;3,09;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;70,20;7,03;1,54;10,37;5,70;5,16;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;63,18;9,41;1,28;7,32;8,03;10,78;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;76,08;8,92;1,00;3,97;4,30;5,73;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;48,74;9,54;2,11;34,01;3,15;2,45;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;76,23;7,56;3,67;7,44;3,21;1,89;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;75,62;9,19;2,52;8,30;3,17;1,20;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;66,87;12,02;1,83;14,08;2,96;2,24;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;69,66;11,05;2,62;10,12;6,05;0,50;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;66,05;11,08;1,69;9,19;5,22;6,77;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;67,80;11,69;2,94;7,30;6,90;3,37;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;82,35;6,04;1,18;5,89;4,54;0,00;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;61,05;13,50;1,65;18,65;2,91;2,24;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;60,00;5,90;0,72;26,52;6,78;0,08;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;65,40;17,21;4,45;5,74;7,20;0,00;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;69,47;11,36;2,79;7,83;5,87;2,68;;;
Lurraldea/TTHH;Araba/Álava;78,66;12,07;1,73;5,81;1,66;0,07;;;
Lurraldea/TTHH;Gipuzkoa;60,25;3,16;0,69;19,59;10,74;5,57;;;
Lurraldea/TTHH;Bizkaia;78,23;10,26;2,03;6,68;1,98;0,82;;;
;;;;;;;;;;
3.1.3.- Hipoteka-kreditu berriko banaketa (%). Babesaren gradua.  2012ko 2. hiruhekoa;;;;;;;;;;
3.1.3.- Distribución del volumen de nuevo crédito hipotecario (%). Grado protección. 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZA LIBREA VIVIENDA LIBRE;ETXEBIZITZA BABESTUA VIVIENDA PROTEGIDA;LIBRE BANKUAK LIBRE BANCOS;LIBRE KUTXAK LIBRE CAJAS;LIBRE BESTEAK LIBRE OTRAS;BABESTUAK BANKUAK VPO BANCOS;BABESTUAK KUTXAK VPO CAJAS;BABESTUAK BESTEAK VPO OTRAS;
Nazionala/Nacional;ESPAÑA;88,57;11,43;76,95;11,28;11,77;68,00;14,77;17,23;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;78,32;21,68;51,81;31,28;16,91;29,39;37,57;33,04;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;87,23;12,77;78,06;10,18;11,76;80,69;6,97;12,34;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;74,55;25,45;68,24;14,49;17,27;53,51;8,47;38,02;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;76,53;23,47;69,93;4,77;25,30;68,02;2,86;29,12;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;96,36;3,64;81,45;7,48;11,07;82,27;7,97;9,76;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;93,58;6,42;80,04;8,50;11,46;72,80;12,9;14,3;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;83,94;16,06;63,76;28,69;7,55;90,38;5,96;3,66;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;88,04;11,96;79,91;7,86;12,23;75,60;7,27;17,13;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;90,74;9,26;78,18;7,26;14,56;56,96;31,03;12,01;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;95,55;4,45;76,62;12,23;11,15;76,79;9,91;13,3;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;76,93;23,07;84,38;8,77;6,85;91,53;6,44;2,03;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;96,15;3,85;90,77;4,59;4,64;80,93;10,12;8,95;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;86,85;13,15;88,38;5,46;6,16;78,64;14,04;7,32;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;88,75;11,25;67,58;12,32;20,10;56,39;12,12;31,49;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;89,59;10,41;39,57;25,15;35,28;38,32;27,1;34,58;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;83,46;16,54;40,09;48,84;11,07;91,01;-;-;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;91,05;8,95;75,50;9,78;14,72;71,02;10,66;18,32;
Lurraldea/TTHH;Araba/Álava;63,62;36,38;38,03;42,14;19,83;27,03;57,68;15,29;
Lurraldea/TTHH;Gipuzkoa;67,79;32,21;37,02;45,03;17,95;28,70;26,38;44,92;
Lurraldea/TTHH;Bizkaia;92,05;7,95;64,12;20,28;15,60;35,33;45,26;19,41;
;;;;;;;;;;
;;;;;;;;;;
3.2.1.- Kontratatutako hipoteka-kredituko batez bestekoa m²ka (€). 2012ko 2. hiruhilekoa;;;;;;;;;;
3.2.1.- Importe medio de crédito hipotecario contratado por m²(€). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK   CAJAS;BESTELAKOAK OTRAS;;;;;
Nazionala/Nacional;ESPAÑA;1.252,56;1.247,27;1.294,58;1.240,02;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1.677,54;1.727,21;1.626,73;1.695,89;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.052,99;1.075,16;997,72;949,80;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.116,17;1.123,36;1.154,87;1.050,18;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.178,05;1.199,68;1.026,21;1.167,55;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.305,05;1.287,05;1.294,28;1.737,99;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.030,72;1.058,80;1.038,54;722,83;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.210,98;1.225,74;1.134,00;1.302,73;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;916,65;922,78;920,04;882,38;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;815,74;826,94;753,49;808,87;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.526,77;1.520,38;1.557,00;1.546,15;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;678,56;673,30;759,22; - ;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.029,63;1.045,54;1.003,48;782,81;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.759,62;1.771,17;1.634,98;1.728,43;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;878,22;897,13;868,76;777,55;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.285,85;1.213,96;1.322,01;1.352,64;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.004,66;997,35;933,28;1.107,58;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;909,75;909,46;866,62;957,10;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.356,31;1.399,39;1.363,33;1.302,26;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;2.215,69;2.440,17;2.137,46;1.965,50;;;;;
Hiriburak/Capitales de TTHH;Bilbao;1.915,13;1.759,94;2.207,90;1.872,47;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.251,69;1.251,15;1.073,85;1.440,45;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.763,45;1.731,68;1.683,79;1.942,25;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.799,66;1.836,29;1.683,80;1.858,51;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.352,00;1.394,49;1.358,15;1.299,14;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.290,04; - ; - ; - ;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;1.821,39; - ;1.933,90; - ;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.892,72;1.844,79;1.992,13;1.891,72;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;2.061,15;2.072,28;2.038,60;2.081,98;;;;;
Eskualde Egitura/Áreas funcionales;Durango;1.656,27;1.738,55;1.810,22;1.446,87;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.520,25;1.552,65;1.454,54; - ;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;1.869,85; - ; - ; - ;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.405,82; - ;1.490,25; - ;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;894,91; - ; - ; - ;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.393,95; - ; - ;1.488,99;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.714,28;1.720,91; - ;1.703,78;;;;;
Eskualde Egitura/Áreas funcionales;Mungia; -     ; - ; - ; - ;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.573,64; - ;1.588,91; - ;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;1.874,17; - ;1.689,61;2.106,52;;;;;
;;;;;;;;;;
;;;;;;;;;;
3.2.3.- Kontratatutako hipoteka-kredituko batez bestekoa transakzioka (€). 2012ko 2. hiruhilekoa;;;;;;;;;;
3.2.3.- Importe medio de crédito hipotecario contratado por transacción (€). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK         CAJAS;BESTELAKOAK OTRAS;;;;;
Nazionala/Nacional;ESPAÑA;103.463,63;104.651,09;105.364,17;95.340,28;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;139.092,78;160.839,73;127.630,83;119.229,82;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;90.674,35;91.371,41;92.399,83;85.098,15;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;81.143,30;81.805,26;77.997,86;81.146,06;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;88.656,59;88.550,89;87.243,01;89.176,97;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;107.678,95;103.868,13;112.686,63;141.856,40;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;74.671,51;73.332,33;82.369,77;78.958,83;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;88.381,79;85.278,49;98.388,83;87.487,75;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;90.583,39;91.259,96;87.707,32;88.287,72;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;100.952,23;104.726,31;95.656,32;87.392,59;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;108.678,98;107.018,86;124.332,71;105.516,73;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;66.101,29;66.815,73;60.689,25;64.028,01;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;82.414,32;83.045,53;70.558,66;84.513,54;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;172.160,12;177.070,54;145.601,18;147.071,76;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;62.300,13;66.065,47;60.187,36;53.880,38;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;111.046,58;109.012,78;117.411,63;109.067,82;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;103.992,40;85.410,50;144.668,04;95.885,80;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;83.217,15;84.436,38;76.365,40;82.136,78;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;107.864,10;126.843,83;98.882,44;104.697,95;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;172.233,93;219.087,48;140.171,53;152.759,77;;;;;
Hiriburak/Capitales de TTHH;Bilbao;218.755,45;265.712,35;182.596,95;126.187,78;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;107.488,79;102.700,46;107.699,24;112.205,64;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;121.491,56;113.106,99;136.301,91;114.492,08;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;124.621,30;123.874,47;123.761,84;127.989,39;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;107.958,63;124.860,85;99.866,76;104.660,68;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;116.474,05; - ; - ; - ;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;118.397,47;112.327,29;129.382,54; - ;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;173.314,64;198.944,99;152.448,83;125.631,38;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;143.525,74;165.048,60;160.182,29;109.933,27;;;;;
Eskualde Egitura/Áreas funcionales;Durango;107.527,05;96.768,29;116.295,65;113.641,74;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;107.796,03;106.803,28;103.652,44; - ;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;130.174,91;103.612,32; - ;161.493,33;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;108.889,14; - ;110.890,85; - ;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;76.432,03; - ; - ; - ;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;110.159,66;98.299,14;130.401,75;113.286,29;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;120.618,48;116.287,04; - ;119.266,16;;;;;
Eskualde Egitura/Áreas funcionales;Mungia; -     ; - ; - ; - ;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;108.789,59;103.541,20;113.043,97; - ;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;155.794,37; - ;143.861,76;170.977,36;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
3.3.- Interes-tipoak. Erreferentziaren indizeak (%). 2012ko 2. hiruhilekoa;;;;;;;;;;
3.3.- Tipos de interés. Índices de referencia (%). 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Finkoa     Fijo;Aldagarria Variable;Euriborra Euribor;HMEI      IRPH;Bestelakoak Otros;;;;
Nazionala/Nacional;ESPAÑA;3,67;96,33;88,90;4,81;2,62;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1,72;98,28;90,45;5,00;2,83;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;5,63;94,37;83,61;8,83;1,93;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;5,08;94,92;92,62;1,41;0,89;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;6,06;93,94;89,26;2,24;2,44;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;8,53;91,47;83,65;6,39;1,43;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;3,44;96,56;87,40;4,26;4,90;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2,74;97,26;90,37;1,99;4,90;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;2,61;97,39;93,31;2,06;2,02;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1,22;98,78;93,12;3,38;2,28;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;3,31;96,69;89,63;4,37;2,69;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1,66;98,34;91,35;5,84;1,15;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2,08;97,92;94,45;2,08;1,39;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1,50;98,50;91,78;1,13;5,59;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;6,14;93,86;80,95;9,46;3,45;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;2,15;97,85;94,52;1,37;1,96;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1,51;98,49;92,94;4,92;0,63;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;4,61;95,39;87,12;6,52;1,75;;;;
Lurraldea/TTHH;Araba/Álava;2,14;97,86;74,94;10,19;12,73;;;;
Lurraldea/TTHH;Gipuzkoa;1,53;98,47;93,60;4,40;0,47;;;;
Lurraldea/TTHH;Bizkaia;1,69;98,31;94,46;3,27;0,58;;;;
;;;;;;;;;;
;;;;;;;;;;
3.4.1.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Entitate mota. 2012ko 2. hiruhilekoa;;;;;;;;;;
3.4.1.- Duración media de los nuevos créditos hipotecarios (meses). Tipo entidad. 02 trimestre 2012;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK         CAJAS;BESTELAKOAK OTRAS;;;;;
Nazionala/Nacional;ESPAÑA;272,00;275,00;284,00;243,00;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;302,00;290,00;308,00;313,00;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;261,00;266,00;274,00;222,00;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;251,00;248,00;255,00;256,00;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;255,00;253,00;269,00;256,00;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;234,00;244,00;205,00;162,00;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;245,00;252,00;249,00;196,00;;;;;
