1.0.-Etxebizitza salerosketak. 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;3.144,83;3.644,48;2.847,78;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.437,01;3.444,32;3.433,08;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.614,38;2.741,80;2.370,62;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;2.515,27;2.578,96;2.280,90;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;3.519,99;5.026,48;2.537,50;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;2.332,31; - ; - ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;1.071,95; - ; - ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;2.001,57;2.152,15;1.959,01;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;3.028,02;3.115,75;2.569,92;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.200,68; - ; - ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.205,51;2.590,23;2.104,57;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;3.475,48;4.147,07;3.286,59;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 01;2.232,62; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 02;2.807,25;3.115,49;2.372,08;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 03;2.302,70; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 04;2.302,31;3.069,94;1.995,25;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 05;2.235,38; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Vitoria-Gasteiz zona 06;1.888,35; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 01;2.958,62; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 02;5.547,85; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 03;3.327,76; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 04;4.299,93; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 05;4.568,49;4.699,91;4.164,10;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Donostia-San Sebastián zona 06;2.776,16;2.525,22;3.278,03;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 01;4.101,70;4.995,84;3.431,10;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 02;3.005,67; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 03;1.872,66; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 04;3.211,56; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 05;2.242,41; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 06;4.907,26;6.068,00;3.604,97;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 07;2.765,94; - ; - ;;;;;;;
Hiriburuetako zonak /Zonas de capitales;Bilbao zona 08;2.526,76; - ; - ;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;
Nazionala/Nacional;ESPAÑA;2.484,77;1.985,55;1.764,73;1.643,11;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.477,08;2.853,82;2.649,27;2.477,24;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.747,92;1.524,28;1.374,89;1.355,51;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;2.434,11;1.890,66;1.706,37;1.590,34;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.639,17;1.637,77;1.627,23;1.608,85;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.163,32;2.037,51;1.821,83;1.908,42;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.943,06;1.705,18;1.385,12;1.252,13;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2.107,90;2.050,52;1.843,22;1.669,73;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.558,30;1.415,44;1.420,66;1.327,52;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.367,08;1.411,49;1.303,80;1.150,27;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.379,58;2.289,67;2.205,36;2.136,78;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;587,63;1.027,02;1.003,28;847,32;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;2.157,47;1.800,01;1.493,78;1.406,06;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.877,34;2.594,08;2.253,50;2.393,35;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.435,34;1.704,90;1.386,88;1.171,77;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.874,27;1.834,38;1.992,98;1.631,87;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; - ;1.499,11;1.558,85;1.373,82;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.439,25;1.537,78;1.413,19;1.388,51;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;
Nazionala/Nacional;ESPAÑA;1.823,72;1.296,78;1.362,42;;;;;;;
