1.0.-Etxebizitza salerosketak. 2012ko 1. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;6,01;93,99;89,01;3,99;0,99;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;0,35;99,65;90,96;6,74;1,95;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;5,28;94,72;91,15;2,04;1,53;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;2,68;97,32;90,88;4,79;1,65;;;;;
Lurraldea/TTHH;Araba/Álava;1,75;98,25;89,84;0,67;7,74;;;;;
Lurraldea/TTHH;Gipuzkoa;1,32;98,68;95,16;2,77;0,75;;;;;
Lurraldea/TTHH;Bizkaia;2,09;97,91;93,87;3,81;0,23;;;;;
;;;;;;;;;;;
3.4.1.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Entitate mota. 2012ko 1. hiruhilekoa;;;;;;;;;;;
3.4.1.- Duración media de los nuevos créditos hipotecarios (meses). Tipo entidad. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK         CAJAS;BESTELAKOAK OTRAS;;;;;;
Nazionala/Nacional;ESPAÑA;285,00;287,00;297,00;258,00;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;309,00;318,00;296,00;332,00;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;277,00;283,00;272,00;254,00;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;281,00;279,00;285,00;280,00;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;291,00;288,00;286,00;296,00;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;256,00;266,00;271,00;156,00;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;233,00;252,00;222,00;127,00;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;300,00;296,00;342,00;231,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;281,00;283,00;295,00;252,00;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;284,00;280,00;326,00;244,00;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;285,00;290,00;299,00;233,00;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;280,00;282,00;298,00;194,00;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;270,00;269,00;324,00;177,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;336,00;337,00;350,00;313,00;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;255,00;248,00;273,00;257,00;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;331,00;338,00;327,00;323,00;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;266,00;257,00;298,00;253,00;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;265,00;272,00;289,00;213,00;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;306,00;379,00;281,00;355,00;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;274,00;289,00;257,00;326,00;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;310,00;313,00;316,00;297,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;330,00;321,00;335,00;325,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;294,00;304,00;280,00;322,00;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;342,00;325,00;352,00;348,00;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;310,00;375,00;289,00;351,00;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;371,00; - ;362,00; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;344,00;357,00;340,00;345,00;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;327,00;319,00;339,00;319,00;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;293,00;299,00;280,00;323,00;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;349,00;332,00;343,00;374,00;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;316,00;308,00;328,00;246,00;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;314,00;262,00;352,00;318,00;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;430,00; - ;402,00;454,00;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;228,00; - ;224,00; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;336,00;328,00;334,00;346,00;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;282,00;296,00;181,00;349,00;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;388,00; - ; - ; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;238,00;339,00;206,00; - ;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;290,00;227,00;332,00;253,00;;;;;;
;;;;;;;;;;;
3.4.2.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Higiezinaren mota.  2012ko 1. hiruhilekoa;;;;;;;;;;;
3.4.2.- Duración media de los nuevos créditos hipotecarios (meses). Tipo bien inmueble. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;ETXEBIZITZAK VIVIENDAS;LOKALAK LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;;;;
Nazionala/Nacional;ESPAÑA;269,00;286,00;160,00;262,00;152,00;133,00;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;290,00;309,00;153,00;259,00;190,00;106,00;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;266,00;278,00;167,00;276,00;156,00;138,00;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;271,00;281,00;195,00;274,00;157,00;154,00;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;261,00;291,00;133,00;249,00;103,00;133,00;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;243,00;256,00;145,00;249,00;194,00;124,00;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;208,00;236,00;134,00;160,00;118,00;103,00;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;300,00;300,00;201,00;335,00;214,00; - ;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;255,00;281,00;146,00;251,00;135,00;125,00;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;253,00;284,00;154,00;286,00;108,00;121,00;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;273,00;291,00;163,00;248,00;205,00;151,00;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;261,00;280,00;169,00;244,00;241,00;142,00;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;262,00;270,00;165,00;284,00;171,00;148,00;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;331,00;336,00;154,00;357,00;274,00;149,00;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;240,00;255,00;144,00;248,00;167,00;151,00;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;297,00;332,00;166,00;141,00;191,00;137,00;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;204,00;266,00;137,00;81,00;229,00;153,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;254,00;266,00;175,00;259,00;145,00;128,00;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;285,00;306,00;140,00;132,00; - ;114,00;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;261,00;274,00;149,00;203,00; - ; - ;;;;
Hiriburak/Capitales de TTHH;Bilbao;290,00;310,00;129,00;306,00; - ; - ;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;322,00;330,00; - ; - ; - ; - ;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;273,00;294,00;182,00;230,00; - ;106,00;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;320,00;342,00;145,00;327,00;232,00;100,00;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;290,00;310,00;142,00;136,00; - ;119,00;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;366,00;371,00; - ; - ; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;346,00;348,00; - ;373,00; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;308,00;327,00;127,00;340,00;221,00;100,00;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;275,00;293,00;156,00;215,00; - ;98,00;;;;
Eskualde Egitura/Áreas funcionales;Durango;298,00;349,00; - ;187,00; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Eibar;293,00;316,00;197,00;271,00; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;302,00;314,00; - ; - ; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Igorre;420,00;430,00; - ; - ; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;210,00;228,00; - ; - ; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;334,00;336,00; - ;397,00; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;254,00;282,00; - ;193,00; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Mungia;388,00; - ; - ; - ; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;219,00;238,00; - ;143,00; - ; - ;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;273,00;290,00;148,00;261,00; - ; - ;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.5.1.- Batez besteko hileroko hipoteka-kuota (€) eta  Soldata-kostuari buruz ehunekoa. 2012ko 1. hiruhilekoa;;;;;;;;;;;
3.5.1.- Cuota hipotecaria mensual media (€) y Porcentaje respecto al coste salarial. 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                         ÁMBITO;Hileko kuota Cuota mensual;Soldata-kostua Coste salarial;% soldataren gaineko kuota % cuota sobre salario;;;;;;;
Nazionala/Nacional;ESPAÑA;603,32;1.894,84;31,84;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;695,01;2.209,70;31,45;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;549,23;1.735,74;31,64;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;544,01;1.797,37;30,27;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;537,30;1.875,42;28,65;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;688,47;1.771,07;38,87;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;501,18;1.572,26;31,88;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;534,86;1.739,60;30,75;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;503,19;1.739,57;28,93;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;500,04;1.709,71;29,25;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;669,11;2.036,13;32,86;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;389,67;1.620,26;24,05;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;507,81;1.669,74;30,41;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;871,32;2.195,72;39,68;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;425,12;1.717,31;24,75;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;533,45;1.999,91;26,67;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;489,39;1.779,18;27,51;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;514,41;1.698,69;30,28;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.5.2.- Interes-mota. Zenbatekoa (%). 2012ko 1. hiruhilekoa;;;;;;;;;;;
3.5.2.- Tipos de interés. Importe (%). 01 trimestre 2012;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;INTERESA     INTERES;;;;;;;;;
Nazionala/Nacional;ESPAÑA;4,13;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3,63;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;4,17;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;4,12;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;4,34;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4,44;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4,18;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;4,10;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;3,93;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;4,18;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;4,37;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;4,34;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4,21;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3,82;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4,61;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;3,46;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;4,04;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;4,31;;;;;;;;;
Lurraldea/TTHH;Araba/Álava;3,53;;;;;;;;;
Lurraldea/TTHH;Gipuzkoa;3,57;;;;;;;;;
Lurraldea/TTHH;Bizkaia;3,77;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
