1.0.-Etxebizitzen salerosketa kopurua. 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;811,90;726,63;589,43;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.710,91;1.789,70;1.750,93;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.541,04;1.147,21;1.365,73;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.094,02;1.618,73;1.749,67;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.440,50;1.790,13;2.341,50;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;976,86;1.203,07;609,93;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.504,01;1.177,60;1.039,62;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.182,68;1.342,76;1.298,40;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;423,78;;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;407,55;;;;;;;;;
Lurraldea/TTHH;GIPUZKOA;478,02;;;;;;;;;
Lurraldea/TTHH;BIZKAIA;410,22;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldakuntza (%). 2017ko 4. hiruhilekoa;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 04 trimestre 2017;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;
Nazionala/Nacional;ESPAÑA;5,13;1,10;0,10;7,40;0,38;1,48;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;-0,22;1,10;0,30;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;2,13;1,10;-0,10;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-1,74;0,90;0,20;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1,46;0,90;0,90;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;6,44;1,30;0,80;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;10,97;1,10;0,20;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;0,37;1,20;0,10;7,40;0,38;1,48;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;2,12;1,00;0,10;7,40;0,38;1,48;;;;
