1.0.-Etxebizitzen salerosketa kopurua. 2019ko 1. hiruhilekoa;;;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 01 trimestre 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.273,62;1.642,90;1.179,01;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.212,46;1.472,38;1.131,89;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.342,67;2.212,28;2.370,58;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.824,81;1.559,54;1.898,90;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.486,15;1.449,65;1.494,90;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.012,98;1.127,08;989,04;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;819,40;964,12;782,20;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.200,34;2.430,21;2.152,91;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;721,17;948,04;687,27;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.280,07;1.228,75;1.294,69;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.621,61;2.338,96;2.712,32;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;996,87;1.036,42;989,09;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.499,09;1.492,66;1.500,89;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.054,98;1.231,55;1.010,58;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.257,95;1.532,40;1.212,32;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.909,52;1.988,90;1.898,52;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;4.164,14;3.677,40;4.401,86;;;;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;2.575,42;2.917,58;2.544,39;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.429,67;1.124,33;1.470,60;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;2.355,64;2.308,55;2.365,82;;;;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;2.435,88;2.772,26;2.383,15;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.877,70;1.971,51;1.865,08;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.816,17; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.819,33;2.061,46;1.799,56;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;2.544,68;3.077,29;2.488,50;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;3.412,70;3.234,36;3.480,26;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;2.166,01;2.315,29;2.099,36;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.848,84;1.621,16;1.956,85;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;2.438,71;2.514,80;2.424,28;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.627,72; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;866,34; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.641,23; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.931,60;2.088,29;1.840,88;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;2.399,31; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;2.005,87; n.d. ; n.d. ;;;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;2.757,47; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.522,92; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.509,58; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;2.067,59;1.817,80;2.128,23;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.643,39; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.720,48; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.880,80; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;4.696,14; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.319,34;4.373,62;6.283,25;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;4.121,08; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.919,77; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.953,67; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;3.196,00;3.416,46;2.936,87;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.908,94; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.378,74; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.626,40; n.d. ; n.d. ;;;;;;;;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.395,92; n.d. ; n.d. ;;;;;;;;;;;;;
