1.0.- Número de compraventas de vivienda. 2021ko 2. hiruhilekoa;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
2.1.-Salerosketa-banaketa (%). 2021ko 2. hiruhilekoa;;;;;;;;;;;
2.1.- Distribución de compraventas (%). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; LIBRE BERRIA NUEVA LIBRE ; BERRIA BABESTUA NUEVA VPO ; LIBRE ERABILIA USADA LIBRE ;ERABILIA BABESTUA USADA VPO;;;;;;
Nazionala/Nacional;ESPAÑA;17,79;1,44;74,26;6,51;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;14,11;1,33;79,00;5,56;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;18,52;1,49;73,19;6,80;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;16,59;1,86;72,20;9,35;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;17,52;3,00;68,55;10,93;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;17,66;0,03;80,17;2,14;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;20,44;0,61;75,77;3,18;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;13,97;0,64;78,10;7,29;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;17,14;1,99;74,03;6,84;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;17,67;0,78;77,66;3,89;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;15,09;0,63;76,70;7,58;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;8,86;1,51;71,91;17,72;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;23,22;1,01;73,21;2,56;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;24,44;3,05;68,42;4,09;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;17,81;0,91;73,65;7,63;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;18,69;5,64;68,32;7,35;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;14,41;0,97;76,78;7,84;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;13,83;0,76;77,35;8,06;;;;;;
Capitales de TTHH;Vitoria-Gasteiz;6,97;3,77;71,75;17,51;;;;;;
Capitales de TTHH;Donostia/San Sebastián;16,63;0,19;81,27;1,91;;;;;;
Capitales de TTHH;Bilbao;5,08; -   ;91,05;3,87;;;;;;
Resto de TTHH;Resto ARABA/ÁLAVA;25,13;0,52;63,36;10,99;;;;;;
Resto de TTHH;Resto GIPUZKOA;14,46;0,26;81,24;4,04;;;;;;
Resto de TTHH;Resto BIZKAIA;18,81;2,33;74,54;4,32;;;;;;
Áreas funcionales;Álava Central;6,93;3,47;73,43;16,17;;;;;;
Áreas funcionales;Balmaseda-Zalla; -   ; -   ;95,92;4,08;;;;;;
Áreas funcionales;Beasain-Zumárraga;9,09;0,70;83,92;6,29;;;;;;
Áreas funcionales;Bilbao Metropolitano;12,32;1,48;82,75;3,45;;;;;;
Áreas funcionales;Donostia-San Sebastián;15,59;0,29;81,37;2,75;;;;;;
Áreas funcionales;Durango;30,18;3,55;59,76;6,51;;;;;;
Áreas funcionales;Eibar;28,66;0,64;66,24;4,46;;;;;;
Áreas funcionales;Gernika-Markina;26,50;0,85;61,54;11,11;;;;;;
Áreas funcionales;Igorre;5,00; -   ;95,00;0,00;;;;;;
Áreas funcionales;Laguardia;31,58; -   ;63,16;5,26;;;;;;
Áreas funcionales;Laudio / Llodio;36,79; -   ;49,06;14,15;;;;;;
Áreas funcionales;Arrasate-Bergara;37,89; -   ;48,43;13,68;;;;;;
Áreas funcionales;Mungia;8,57; -   ;74,29;17,14;;;;;;
Áreas funcionales;Tolosa;5,38; -   ;94,62;0,00;;;;;;
Áreas funcionales;Zarautz-Azpeitia;5,24; -   ;93,81;0,95;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.1.1.- Hipoteka-kreditu berriko banaketa(%).  2021ko 2. hiruhilekoa;;;;;;;;;;;
3.1.1.- Distribución del volumen de nuevo crédito hipotecario(%).  2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; BANKUAK/KUTXAK BANCOS/CAJAS ; BESTELAKOAK OTRAS ;;;;;;;;
Nazionala/Nacional;ESPAÑA;90,54;9,46;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;80,96;19,04;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;90,59;9,41;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;90,26;9,74;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;72,87;27,13;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;92,06;7,94;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;89,18;10,82;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;96,88;3,12;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;83,65;16,35;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;83,15;16,85;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;93,66;6,34;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;92,23;7,77;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;96,44;3,56;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;95,30;4,70;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;86,70;13,30;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;57,36;42,64;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;64,65;35,35;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;88,59;11,41;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;77,54;22,46;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia/San Sebastián;64,57;35,43;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;88,45;11,55;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;74,34;25,66;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;72,00;28,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;87,94;12,06;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;77,44;22,56;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;100,00; -   ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;46,50;53,50;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;86,67;13,33;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;72,16;27,84;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;98,70;1,30;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;86,24;13,76;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;85,85;14,15;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;92,95;7,05;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;71,86;28,14;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;74,07;25,93;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;81,01;18,99;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;96,93;3,07;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;23,94;76,06;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;61,08;38,92;;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.1.2.- Hipoteka-kreditu berriko banaketa(%). Higiezin mota. 2021ko 2. hiruhilekoa;;;;;;;;;;;
3.1.2.- Distribución del volumen de nuevo crédito hipotecario (%). Tipo bien inmueble. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; ETXEBIZITZAK VIVIENDAS ; LOKALAK LOCALES ; GARAJEAK/TRASTEROAK GARAJE/TRASTEROS ;ORUBEAK SOLARES;NABEAK   NAVES;LARREKOAK RUSTICOS;;;;
Nazionala/Nacional;ESPAÑA;87,15;2,89;1,09;5,82;2,52;0,53;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;81,57;4,24;0,93;8,99;3,92;0,35;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;88,65;2,41;1,65;5,84;1,09;0,36;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;82,10;0,76;1,64;4,71;10,63;0,16;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;82,03;4,14;2,73;6,11;1,25;3,74;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;82,83;3,13;0,59;8,68;1,05;3,72;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;89,17;4,92;1,18;1,17;1,92;1,64;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;90,77;1,70;1,59;2,03;2,95;0,96;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;83,73;3,24;1,77;5,35;3,08;2,83;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;79,39;1,31;0,78;1,81;15,97;0,74;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;85,56;4,62;1,08;6,17;2,49;0,08;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;91,46;2,23;0,77;3,66;1,22;0,66;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;88,01;4,81;1,24;1,29;2,83;1,82;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;90,95;1,50;0,57;6,57;0,40;0,01;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;91,51;1,94;1,06;1,45;3,13;0,91;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;67,82;5,37;0,50;21,72;4,54;0,05;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;81,40;3,52;1,27;7,48;6,33;0,00;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;90,15;2,31;1,23;1,74;4,21;0,36;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;77,26;1,59;0,36;3,76;17,03;0,00;;;;
Lurraldea/TTHH;GIPUZKOA;84,39;2,68;1,13;9,36;1,93;0,51;;;;
Lurraldea/TTHH;BIZKAIA;80,93;5,66;0,93;9,87;2,28;0,33;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.1.3.- Hipoteka-kreditu berriko banaketa (%). Babesaren gradua.  2021ko 2. hiruhilekoa;;;;;;;;;;;
3.1.3.- Distribución del volumen de nuevo crédito hipotecario (%). Grado protección. 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; ETXEBIZITZA LIBREA VIVIENDA LIBRE ; ETXEBIZITZA BABESTUA VIVIENDA PROTEGIDA ; LIBRE BANKUAK/KUTXAK LIBRE BANCOS/CAJAS ;LIBRE BESTEAK LIBRE OTRAS;BABESTUAK BANKUAK/KUTXAK VPO BANCOS/CAJAS;BABESTUAK BESTEAK VPO OTRAS;;;;
Nazionala/Nacional;ESPAÑA;92,45;7,55;91,78;8,22;91,06;8,94;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;91,21;8,79;79,96;20,04;85,42;14,58;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;92,63;7,37;91,34;8,66;90,60;9,40;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;90,07;9,93;91,25;8,75;84,75;15,25;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;89,30;10,70;75,76;24,24;69,20;30,80;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;98,13;1,87;95,61;4,39;96,70;3,30;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;95,46;4,54;92,81;7,19;89,24;10,76;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;92,78;7,22;96,83;3,17;98,83;1,17;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;90,09;9,91;86,21;13,79;76,06;23,94;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;95,33;4,67;81,62;18,38;80,12;19,88;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;92,11;7,89;94,11;5,89;97,50;2,50;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;67,71;32,29;91,67;8,33;96,77;3,23;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;96,30;3,70;97,16;2,84;91,25;8,75;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;93,77;6,23;96,65;3,35;97,40;2,60;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;90,46;9,54;86,73;13,27;85,92;14,08;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;84,69;15,31;60,55;39,45;47,98;52,02;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;89,57;10,43;71,68;28,32;70,11;29,89;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;91,63;8,37;90,22;9,78;91,30;8,70;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;77,16;22,84;78,74;21,26;70,42;29,58;;;;
Lurraldea/TTHH;GIPUZKOA;96,95;3,05;65,41;34,59;72,84;27,16;;;;
Lurraldea/TTHH;BIZKAIA;90,69;9,31;89,19;10,81;95,15;4,85;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.2.1.- Kontratatutako hipoteka-kredituko batez bestekoa m²ka (€). 2021ko 2. hiruhilekoa;;;;;;;;;;;
3.2.1.- Importe medio de crédito hipotecario contratado por m² (€). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; BATEZBESTEKOA MEDIA ; BANKUAK/KUTXAK BANCOS/CAJAS ; BESTELAKOAK OTRAS ;;;;;;;
Nazionala/Nacional;ESPAÑA;1.344,00;1.363,70;1.151,37;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1.875,07;1.854,87;1.952,32;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.048,75;1.071,77;855,44;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.101,14;1.105,82;1.053,63;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.090,73;1.098,74;1.068,71;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.725,84;1.735,71;1.472,27;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.182,46;1.186,47;1.122,28;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.130,35;1.128,01;1.217,02;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;852,55;853,38;846,50;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;709,45;711,28;701,27;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.720,39;1.728,56;1.558,96;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;692,53;697,89;632,44;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.039,30;1.045,07;866,54;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.024,56;2.028,30;1.928,80;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;781,52;801,39;640,52;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.242,10;1.177,56;1.333,35;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;902,95;894,12;950,34;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;947,04;958,88;830,78;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;1.545,67;1.567,74;1.480,77;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;2.879,02;2.811,31;3.016,73;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;1.913,23;1.929,93;1.792,88;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;1.286,60;1.257,92;1.416,31;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;1.794,75;1.779,02;1.820,28;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;1.788,20;1.779,79;1.874,17;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;1.506,27;1.523,05;1.455,13;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;1.263,39;1.263,39; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;1.562,87;1.511,90;1.586,99;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;1.883,00;1.887,42;1.847,65;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;2.434,05;2.347,41;2.655,33;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;1.657,49;1.656,23; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;1.632,99;1.606,43;1.801,17;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;1.611,00;1.583,50;1.780,26;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;1.245,23;1.235,35; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;750,38; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;1.370,78;1.318,40; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;1.471,00;1.461,32;1.499,25;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;1.812,19;1.812,19; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;1.539,86;1.374,74;1.580,55;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;1.979,81;1.863,71;2.124,93;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.2.3.- Kontratatutako hipoteka-kredituko batez bestekoa transakzioka (€). 2021ko 2. hiruhilekoa;;;;;;;;;;;
3.2.3.- Importe medio de crédito hipotecario contratado por transacción (€). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; BATEZBESTEKOA MEDIA ; BANKUAK/KUTXAK BANCOS/CAJAS ; BESTELAKOAK OTRAS ;;;;;;;
Nazionala/Nacional;ESPAÑA;138.712,04;141.660,52;112.679,18;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;160.177,30;159.899,12;161.331,87;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;117.738,08;120.271,87;96.453,27;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;113.086,05;114.173,79;103.572,56;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;102.657,36;109.269,32;86.840,52;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;185.414,44;186.618,09;162.460,69;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;119.069,63;118.458,69;127.348,65;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;109.616,16;109.080,61;130.100,60;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;94.028,47;93.717,96;95.857,73;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;90.219,60;90.331,62;89.727,82;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;161.567,59;162.142,99;152.491,16;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;81.893,71;82.570,39;73.486,63;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;103.535,53;103.715,44;98.136,40;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;217.567,53;218.017,91;205.169,03;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;82.388,72;84.600,44;70.436,73;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;120.645,60;117.155,85;125.962,26;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;96.125,79;91.489,73;110.141,74;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;97.150,76;100.910,73;72.098,93;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;141.802,17;147.338,74;126.543,88;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;229.978,54;228.923,72;231.881,23;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;168.469,96;171.634,20;144.549,46;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;131.200,29;129.502,58;138.054,03;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;147.692,01;145.808,66;151.622,99;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;152.543,65;152.264,96;154.989,07;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;141.143,97;145.616,66;128.300,97;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;125.768,48;125.768,48; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumárraga;111.662,03;117.467,88;107.485,90;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;162.844,54;164.300,58;152.247,82;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;193.236,09;188.481,26;204.842,38;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;128.318,82;127.921,13; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;116.983,99;114.107,95;136.510,78;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;140.072,66;140.018,35;140.427,50;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;115.826,47;115.500,70; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;135.537,25; n.d. ; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;122.043,27;120.416,89;127.837,25;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;136.087,62;138.085,28;128.357,52;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;178.419,50;179.625,95; n.d. ;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;137.752,25; n.d. ;136.847,43;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;180.590,91;169.780,01;193.507,83;;;;;;;
;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
3.3.- Interes-tipoak. Erreferentziaren indizeak (%). 2021ko 2. hiruhilekoa;;;;;;;;;;;
3.3.- Tipos de interés. Índices de referencia (%). 2 trimestre 2021;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO; Finkoa     Fijo ; Aldagarria Variable ; Euriborra Euribor ;HMEI      IRPH;Bestelakoak Otros;;;;;
Nazionala/Nacional;ESPAÑA;56,76;43,24;42,40;0,21;0,63;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;48,92;51,08;50,85;0,06;0,17;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;55,79;44,21;43,64;0,23;0,34;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;62,90;37,10;37,02;0,08;0,00;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;54,39;45,61;45,40;0,05;0,16;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;59,38;40,62;39,51;0,05;1,06;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;54,00;46,00;45,36;0,11;0,53;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;55,99;44,01;44,01;0,00;0,00;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;53,98;46,02;45,62;0,08;0,32;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;54,47;45,53;44,27;0,98;0,28;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;64,41;35,59;35,09;0,19;0,31;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;41,04;58,96;55,12;0,91;2,93;;;;;
