1.0.-Etxebizitza salerosketak. 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;140.119,78;149.317,10;139.619,76;118.842,12;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;134.024,31;143.194,07;125.690,33;127.817,28;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;106.716,67;103.838,44;106.211,29;121.596,40;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;114.424,87;106.344,49;118.445,18; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;111.768,37;103.985,09; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;117.979,53; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;99.714,29; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;141.291,42;156.860,72; - ;102.733,05;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;115.919,54;106.527,27; - ;124.411,37;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;196.666,67; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;149.632,90;155.454,07;141.633,33; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;145.615,13;174.353,58;135.622,25;144.202,29;;;;;;;;;;
;;;;;;;;;;;;;;;
3.3.- Interes-tipoak. Erreferentziaren indizeak (%). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.3.- Tipos de interés. Índices de referencia (%). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Finkoa     Fijo;Aldagarria Variable;Euriborra Euribor;HMEI      IRPH;Bestelakoak Otros;;;;;;;;;
Nazionala/Nacional;ESPAÑA;3,85;96,15;90,24;4,28;1,63;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;1,89;98,11;92,48;4,69;0,94;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;3,86;96,14;87,81;6,89;1,44;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;3,55;96,45;94,50;1,36;0,59;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;2,62;97,38;92,47;1,44;3,47;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;3,35;96,65;88,95;4,78;2,92;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2,80;97,20;92,79;1,93;2,48;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;2,06;97,94;95,43;1,14;1,37;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;2,75;97,25;89,92;3,97;3,36;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;2,10;97,90;89,04;7,19;1,67;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2,87;97,13;90,96;4,19;1,98;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;1,69;98,31;87,47;9,33;1,51;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;3,51;96,49;92,69;2,19;1,61;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;11,02;88,98;86,95;1,42;0,61;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2,84;97,16;89,70;5,77;1,69;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;0,44;99,56;93,57;3,66;2,33;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1,00;99,00;98,00;0,67;0,33;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;3,67;96,33;90,86;4,52;0,95;;;;;;;;;
Lurraldea/TTHH;Araba/Álava;1,39;98,61;95,30;0,32;2,99;;;;;;;;;
Lurraldea/TTHH;Gipuzkoa;1,24;98,76;96,36;2,15;0,25;;;;;;;;;
Lurraldea/TTHH;Bizkaia;2,55;97,45;88,59;8,49;0,37;;;;;;;;;
;;;;;;;;;;;;;;;
3.4.1.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Entitate mota. 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.4.1.- Duración media de los nuevos créditos hipotecarios (meses). Tipo entidad. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;BANKUAK BANCOS;KUTXAK         CAJAS;BESTELAKOAK OTRAS;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;279,00;286,00;272,00;242,00;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;283,00;311,00;244,00;305,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;273,00;276,00;289,00;237,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;276,00;294,00;248,00;231,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;249,00;252,00;265,00;236,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;244,00;252,00;236,00;175,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;285,00;290,00;237,00;279,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;310,00;326,00;283,00;162,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;266,00;269,00;301,00;221,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;274,00;285,00;261,00;232,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;281,00;290,00;276,00;232,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;264,00;272,00;272,00;158,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;270,00;274,00;306,00;151,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;321,00;322,00;332,00;289,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;264,00;274,00;251,00;240,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;291,00;284,00;311,00;289,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;284,00;312,00;143,00;243,00;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;265,00;274,00;268,00;218,00;;;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;221,00;358,00;129,00;339,00;;;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;309,00;299,00;313,00;327,00;;;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;295,00;288,00;332,00;282,00;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;283,00;308,00;172,00;317,00;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;318,00;305,00;342,00;295,00;;;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;292,00;309,00;263,00;302,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;221,00;351,00;129,00;338,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;376,00; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;345,00;324,00;353,00; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;302,00;299,00;315,00;297,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;321,00;318,00;321,00;331,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;240,00;311,00;221,00;268,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;300,00;317,00;315,00; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;285,00;294,00; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;276,00; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;283,00; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;347,00;361,00; - ;319,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;277,00;268,00; - ;280,00;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;260,00; - ; - ; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;298,00;274,00;351,00; - ;;;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;294,00;236,00;333,00;289,00;;;;;;;;;;
;;;;;;;;;;;;;;;
3.4.2.- Hipoteka-kredituen batez besteko iraupena (hilabetetan). Higiezinaren mota.  2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.4.2.- Duración media de los nuevos créditos hipotecarios (meses). Tipo bien inmueble. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;BATEZBESTEKOA MEDIA;ETXEBIZITZAK VIVIENDAS;LOKALAK LOCALES;GARAJEAK/TRASTEROAK GARAJE/TRASTEROS;ORUBEAK SOLARES;NABEAK   NAVES;;;;;;;;
Nazionala/Nacional;ESPAÑA;261,00;279,00;156,00;247,00;164,00;140,00;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;263,00;284,00;141,00;240,00;200,00;110,00;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;258,00;273,00;156,00;253,00;179,00;128,00;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;265,00;276,00;143,00;286,00;127,00;118,00;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;239,00;249,00;148,00;251,00;203,00;121,00;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;226,00;244,00;145,00;204,00;101,00;134,00;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;259,00;285,00;159,00;219,00;146,00;121,00;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;295,00;310,00;162,00;288,00; - ;131,00;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;258,00;266,00;156,00;279,00;220,00;118,00;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;250,00;274,00;143,00;222,00;164,00;183,00;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;266,00;284,00;156,00;237,00;186,00;145,00;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;233,00;264,00;159,00;165,00;176,00;151,00;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;253,00;270,00;174,00;247,00;130,00;160,00;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;298,00;321,00;164,00;222,00;96,00;187,00;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;221,00;264,00;129,00;158,00;157,00;123,00;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;276,00;292,00;159,00;305,00;99,00;124,00;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;261,00;284,00;199,00;250,00;75,00; - ;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;262,00;265,00;163,00;295,00;164,00;166,00;;;;;;;;
Hiriburak/Capitales de TTHH;Vitoria-Gasteiz;202,00;221,00;101,00;95,00; - ; - ;;;;;;;;
Hiriburak/Capitales de TTHH;Donostia-San Sebastián;263,00;309,00;142,00;122,00; - ; - ;;;;;;;;
Hiriburak/Capitales de TTHH;Bilbao;252,00;295,00;163,00;175,00; - ; - ;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;ARABA/ÁLAVA;281,00;283,00; - ; - ; - ; - ;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;GIPUZKOA;297,00;321,00;151,00;335,00; - ;94,00;;;;;;;;
Lurralderen gainerakoa/Resto de TTHH;BIZKAIA;283,00;292,00;128,00;338,00;258,00;131,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Álava Central;202,00;221,00;105,00;99,00; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Balmaseda-Zalla;388,00;376,00; - ; - ; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Beasain-Zumarraga;336,00;345,00; - ; - ; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Bilbao Metropolitano;273,00;302,00;137,00;249,00;196,00; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Donostia-San Sebastián;291,00;321,00;161,00;232,00; - ;93,00;;;;;;;;
Eskualde Egitura/Áreas funcionales;Durango;243,00;240,00;195,00;366,00; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Eibar;268,00;300,00;158,00;306,00; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Gernika-Markina;289,00;285,00; - ; - ; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Igorre;227,00; - ; - ; - ; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laguardia;283,00; - ; - ; - ; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Laudio / Llodio;356,00;347,00; - ;392,00; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Arrasate-Bergara;226,00;277,00;104,00;209,00; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Mungia;240,00; - ; - ; - ; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Tolosa;292,00;303,00; - ; - ; - ; - ;;;;;;;;
Eskualde Egitura/Áreas funcionales;Zarautz-Azpeitia;284,00;318,00;89,00;371,00; - ; - ;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.5.1.- Batez besteko hileroko hipoteka-kuota (€) eta  Soldata-kostuari buruz ehunekoa. 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.5.1.- Cuota hipotecaria mensual media (€) y Porcentaje respecto al coste salarial. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                         ÁMBITO;Hileko kuota Cuota mensual;Soldata-kostua Coste salarial;% soldataren gaineko kuota % cuota sobre salario;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;572,39;1.900,65;30,12;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;686,16;2.230,21;30,77;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;510,17;1.732,90;29,44;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;548,11;1.801,12;30,43;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;499,45;1.876,99;26,61;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;660,81;1.766,79;37,40;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;358,07;1.576,90;22,71;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;512,88;1.720,34;29,81;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;508,34;1.738,69;29,24;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;482,79;1.722,36;28,03;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;625,91;2.035,75;30,75;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;402,14;1.628,57;24,69;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;593,34;1.662,32;35,69;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;834,55;2.223,15;37,54;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;434,88;1.715,85;25,34;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;565,60;1.978,82;28,58;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;567,75;1.766,80;32,13;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;464,08;1.698,13;27,33;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.5.2.- Interes-mota. Zenbatekoa (%). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
3.5.2.- Tipos de interés. Importe (%). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;INTERESA     INTERES;;;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;4,00;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3,71;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;3,96;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;4,17;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;4,09;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;4,44;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;4,17;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;3,61;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;4,04;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;3,99;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;4,09;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;4,02;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;4,34;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3,71;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;4,55;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;3,70;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;3,58;;;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;4,01;;;;;;;;;;;;;
Lurraldea/TTHH;Araba/Álava;3,56;;;;;;;;;;;;;
Lurraldea/TTHH;Gipuzkoa;3,72;;;;;;;;;;;;;
Lurraldea/TTHH;Bizkaia;3,79;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
