1.0.-Etxebizitza salerosketak. 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 02;2.859,65; - ; - ;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 03;1.959,62; - ; - ;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 04;2.942,09; - ; - ;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 05;2.098,53; - ; - ;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 06;4.123,19;5.285,96;3.357,46;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 07;2.491,60; - ; - ;;;;;;;;;;;
Hiriburuetako zonak  zonak/Zonas de capitales;Bilbao zona 08;2.391,57; - ; - ;;;;;;;;;;;
;;;;;;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;2.132,11;1.749,85;1.602,47;1.493,92;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;3.317,81;2.829,35;2.484,29;2.447,86;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.697,53;1.449,17;1.342,38;1.346,24;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.686,45;1.582,34;1.595,82;1.537,31;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.553,30;1.559,39;1.483,98;1.463,11;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.243,16;2.044,46;1.814,54;1.760,50;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.835,73;1.523,34;1.304,83;1.260,07;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.609,48;1.648,98;1.557,19;1.648,78;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.567,38;1.465,25;1.358,73;1.204,43;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.354,16;1.114,80;1.092,46;1.033,02;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.201,30;2.004,22;1.841,08;1.905,29;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;705,15;855,58;881,40;869,27;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.869,27;1.561,74;1.406,58;1.335,51;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;3.187,67;2.223,64;2.124,01;2.152,39;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.786,91;1.403,66;1.285,24;1.044,25;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; - ;1.903,31;1.813,03;1.534,54;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; - ;1.692,13;1.553,73;1.405,32;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.524,16;1.354,25;1.289,74;1.152,50;;;;;;;;;;
;;;;;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.624,90;1.234,04;1.321,21;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.726,30;3.550,99;2.851,57;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.388,99;1.107,28;1.164,14;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.637,95;1.155,87;771,47;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.464,27;1.288,06;904,10;;;;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;1.927,84;1.573,43;2.214,68;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.407,52;1.442,32;1.421,59;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.618,31;1.724,21;1.271,10;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.288,77;1.006,14;512,33;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXACASTILLA-LA MANCHA;1.023,27;862,67;622,55;;;;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.944,35;1.534,35;1.922,61;;;;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;867,75;700,41;509,94;;;;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.443,50;928,00;1.063,45;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;1.484,16;1.014,94;348,51;;;;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;2.287,64;1.729,93;3.185,17;;;;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.190,03;1.157,05;861,90;;;;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.631,76;1.384,84;1.053,50;;;;;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.261,05;1.148,89;1.254,31;;;;;;;;;;;
;;;;;;;;;;;;;;;
1.2.- Hiri-lurraren batez besteko prezioa (€/m2). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;805,02;;;;;;;;;;;;;
Lurraldea/TTHH;Araba/Álava;343,83;;;;;;;;;;;;;
Lurraldea/TTHH;Gipuzkoa;1.960,10;;;;;;;;;;;;;
Lurraldea/TTHH;Bizkaia;533,19;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1.3.-Errentagarritasun-adierazleak eta prezio-aldaketa (%). 2012ko 3. hiruhilekoa;;;;;;;;;;;;;;;
1.3.- Indicadores de rentabilidad y variación de precios (%). 03 trimestre 2012;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;ETXEBIZITZAREN PREZIOA PRECIO VIVIENDA;KPI         IPC;SOLDATEN KOSTUA COSTE SALARIAL;IBEX 35;5 URTETARAKO ZORRA DEUDA 5 AÑOS;10 URTETARAKO ZORRA DEUDA 10 AÑOS;;;;;;;;
Nazionala/Nacional;ESPAÑA;-8,33;3,40;1,00;-7,59;5,61;6,42;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;-6,32;3,10;1,30;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;-2,89;3,10;0,50;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;-20,14;3,20;-0,20;-7,59;5,61;6,42;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;-5,80;3,10;0,80;-7,59;5,61;6,42;;;;;;;;
