1.0.-Etxebizitzen salerosketa kopurua. 2016ko 3. hiruhilekoa;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 01;1.395,23; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 02;2.011,03; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 03;1.764,11;1.639,33;1.788,26;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 04;1.388,80; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 05;1.719,00; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Vitoria-Gasteiz zona 06;1.339,11;1.436,49;1.197,46;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 01;4.286,37; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 02;5.336,41;3.539,51;5.864,91;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 03;2.259,19; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 04;4.713,74; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 05;4.002,56;4.325,08;3.742,07;;;;;;
Hiriburuetako zonak/Zonas de capitales;Donostia-San Sebastián zona 06;2.076,26;2.060,99;2.082,37;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 01;2.321,35; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 02;2.212,41; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 03;1.957,18; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 04;2.331,47; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 05;1.911,66; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 06;3.518,87;4.154,64;3.442,34;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 07;2.070,44; n.d. ; n.d. ;;;;;;
Hiriburuetako zonak/Zonas de capitales;Bilbao zona 08;1.823,23; n.d. ; n.d. ;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.1.2.- Batez besteko prezioa azaleraren arabera (€/m2). 2016ko 3. hiruhilekoa;;;;;;;;;;
1.1.2.- Precio medio por superficie (€/m2). 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;< 40 m²;40 m² - 60 m²; 60 m² - 80 m²;> 80 m²;;;;;
Nazionala/Nacional;ESPAÑA;2.096,18;1.661,98;1.499,01;1.515,17;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.954,18;2.389,11;2.232,36;2.350,36;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.678,71;1.387,83;1.239,99;1.292,21;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.312,92;1.122,27;1.240,33;1.399,64;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.287,56;1.036,81;1.146,18;1.263,38;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.241,50;2.332,56;1.997,58;2.090,35;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;2.069,88;1.700,37;1.454,55;1.291,19;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.642,33;1.614,75;1.422,78;1.515,85;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.320,92;1.044,59;1.012,42;1.042,95;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;686,31;796,81;780,00;822,35;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.197,42;1.905,02;1.810,52;1.981,25;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;695,27;693,07;776,17;729,60;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.660,81;1.316,36;1.207,38;1.196,46;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.985,82;2.093,87;1.876,70;2.261,26;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.327,81;1.067,88;1.027,47;885,64;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ;1.650,12;1.335,87;1.261,89;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA; n.d. ;879,27;879,34;1.007,84;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.582,16;1.222,11;1.128,24;1.039,55;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2016ko 3. hiruhilekoa;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;
Nazionala/Nacional;ESPAÑA;1.597,36;1.330,64;1.302,38;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.389,50;2.955,05;2.427,83;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.348,04;1.222,96;1.042,13;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.327,40;964,56;768,69;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.206,10;1.257,08;813,45;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.135,98;1.682,38;2.701,70;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;971,58;1.048,80;605,68;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;733,27;532,91;377,35;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.266,12;960,29;836,47;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.066,03;826,82;521,92;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;804,67;711,90;568,09;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.557,24;1.776,53;1.525,15;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.507,45;1.380,78;1.229,37;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;1.907,90;1.640,87;1.684,00;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.235,53;1.677,01;2.618,82;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;978,17;1.174,51;674,37;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.268,17;1.235,94;1.314,79;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.162,62;1.308,91;1.208,47;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1.2.- Hiri-lurzoruaren batez besteko prezioa (€/m2). 2016ko 3. hiruhilekoa;;;;;;;;;;
1.2.- Precio medio suelo urbano (€/m2). 03 trimestre 2016;;;;;;;;;;
;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;Batez bestekoa Valor Medio;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;291,95;;;;;;;;
Lurraldea/TTHH;ARABA/ÁLAVA;313,07;;;;;;;;
