1.0.-Etxebizitza salerosketak. 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.0.- Número de compraventas de vivienda. 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;OROKORRA GENERAL;BERRIA NUEVA;ERABILIA USADA;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;4.181,01;2.999,45;2.664,97;2.866,27;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.447,79;1.069,65;987,33;972,58;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA; n.d. ;2.019,86;1.841,26;1.783,31;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.143,58;1.102,69;1.067,08;1.047,04;;;;;;;
Erakunde Autonomoa/CCAA;VALENTZIA KOMUNITATEA/VALENCIA;1.720,86;1.377,79;1.254,16;1.221,72;;;;;;;
;;;;;;;;;;;;
Iturria: Erregistratzaileetako eta Euskadiaren Jabetza-Erregistroetako Elkargoa.;;;;;;;;;;;;
Fuente:  Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1.1.3.- Batez besteko prezioa tipologiaren arabera (€/m2). 2021ko 1. hiruhilekoa;;;;;;;;;;;;
1.1.3.- Precio medio por tipología (€/m2). 1 trimestre 2021;;;;;;;;;;;;
;;;;;;;;;;;;
BANATZEA                                        DESGLOSE;EREMUA                                                    ÁMBITO;PISUAK PISOS;ETXE ATXIKIAK ADOSADOS;FAMILIABAKARRA UNIFAMILIARES;;;;;;;;
Nazionala/Nacional;ESPAÑA;1.887,94;1.418,40;1.353,86;;;;;;;;
Euskadi/País Vasco;EUSKADI/PAIS VASCO;2.776,68;3.598,74;3.564,95;;;;;;;;
Erakunde Autonomoa/CCAA;ANDALUZIA/ANDALUCIA;1.501,62;1.153,70;1.083,86;;;;;;;;
Erakunde Autonomoa/CCAA;ARAGOI/ARAGON;1.501,26;1.110,38;774,66;;;;;;;;
Erakunde Autonomoa/CCAA;ASTURIAS/ASTURIAS;1.328,61;1.237,09;1.052,09;;;;;;;;
Erakunde Autonomoa/CCAA;BALEAR UHARTEAK/BALEARES;2.615,76;2.086,24;2.928,66;;;;;;;;
Erakunde Autonomoa/CCAA;ERRIOXA/LA RIOJA;1.058,32;1.067,65;426,80;;;;;;;;
Erakunde Autonomoa/CCAA;EXTREMADURA/EXTREMADURA;809,05;603,12;436,28;;;;;;;;
Erakunde Autonomoa/CCAA;GALIZIA/GALICIA;1.443,14;1.076,51;914,74;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA ETA LEON/CASTILLA Y LEON;1.176,14;930,01;577,70;;;;;;;;
Erakunde Autonomoa/CCAA;GAZTELA-MANTXA/CASTILLA-LA MANCHA;912,01;836,57;604,24;;;;;;;;
Erakunde Autonomoa/CCAA;KANARIAR UHARTEAK/CANARIAS;1.783,65;2.084,60;1.594,83;;;;;;;;
Erakunde Autonomoa/CCAA;KANTABRIA/CANTABRIA;1.624,27;1.238,99;1.343,24;;;;;;;;
Erakunde Autonomoa/CCAA;KATALUNIA/CATALUÑA;2.338,54;1.813,41;1.800,05;;;;;;;;
Erakunde Autonomoa/CCAA;MADRIL/MADRID;2.979,81;1.954,18;2.465,61;;;;;;;;
Erakunde Autonomoa/CCAA;MURTZIA/MURCIA;1.026,16;1.115,11;765,03;;;;;;;;
Erakunde Autonomoa/CCAA;NAFARROA/NAVARRA;1.808,69;1.187,54;1.171,18;;;;;;;;
